5000299211243	CHIVAS REGAL ROYAL SALUTE 21 YEARS	9000	6037,38
5000299211687	CHIVAS REGAL 62Y	130000	115200
5000299223017	CAPTAIN MORGAN GOLD 70CL	1120	940,496
5000299225004	CHIVAS REGAL 18 YIL	3250	2409,56
5000299228869	CHIVAS REGAL 3,00 CL.	6950	5975,7
5000299284926	CHIVAS REGAL 25 YO	18500	10097,7
5000299295021	GLENLIVET 15Y	3600	2573,83
5000299296028	MALFY GIN ORIGINAL	1700	1192,52
5000299296042	MALFY CIN CON LIMONE	1700	1028,04
5000299298022	ABERLOUR 16Y	5600	3763,65
5000299601693	CHIVAS REGAL MIZUNARA	2800	1876,66
5000299603956	CHIVAS REGAL ICON	105000	100935
5000299605950	BEEFEATER PINK 70CL	1150	842,861
5000299605981	BEEFETER 50CL	885	655,063
5000299606070	BALLANTINES 1LT	1500	1078,6
5000299606728	BALLANTINES 50 CL	825	599,754
5000299609347	GLENLIVET FOUNDER RESERVE	1700	1222,57
5000299610688	BALLANTINES 35 CL	595	434,97
5000299611104	CHIVAS EXTRA 70 CL	1850	1320,24
5000299611524	CHIVAS REGAL ULTIS 70 CL	8500	5863,93
5000299613054	JP WISERS	1100	630,892
5000299613900	CAPERDONICH 18	8900	5193,92
5000299613993	LONGMORN 18	5500	3246,2
5000299618240	BEEFEATER GIN BLOOD ORANGE	1150	809,996
5000299620168	ABERLOUR CASG ANNAMH	4000	2881,07
5000299620915	ABERLOUR 14Y	3600	2353,78
5000299622049	CHIVAS REGAL 15Y	2450	1769,65
5000299624555	ROYAL SALUTE 30Y	30000	17336
5000299626214	CHIVAS 13 TEQUILA CASK	1850	963,419
5000299627471	GLENLIVET CARIBBEAN	1950	1402,36
5000299628034	BALLANTINES 7Y	1175	880,378
5000299628676	BALLANTINES 10 YO 35 CL	650	487,017
5000299628690	BALLANTINES 10YO 50 CL	925	656,934
5000299628713	BALLANTINES 10 YO 70CL	1250	914,191
5000299628768	BALLANTINES 10 YO 100CL	1725	1124,62
5000299631096	LONG JOHN 50 CL	650	318,41
5000299632765	ABERLOUR 18Y	7600	5753,27
5000299635742	CHIVAS EXTRA SMOKY 70 CL	1650	1235,22
5000299635827	CHIVAS EXTRA SMOKY 35 CL	875	713,898
5000329002193	BEEFEATER 70CL	1150	818,368
5000329002278	BEEFEATER 1 LT	1550	1004,28
5000329006054	BEEFEATER CIN 35 CL	600	444,586
5000387905436	BELLS 35 CL	570	481,379
5000387905504	BELLS 1LT	1400	930,6
5000387905634	BELLS 70 CL	1000	845,154
5000387905771	BELLS 50 CL	790	667,49
5010019601261	LONG JOHN 70CL	875	551,363
5010019640260	LAPHROAIG 10Y	3195	2518,52
5010103800259	J&B 70 CL	1000	729,385
5010103800457	J&B 100CL	1400	765,975
5010103800853	J&B 35 CL	575	449,286
5010103919067	J&B 50CL	790	622,99
5010106110126	BALLANTINES 17YO	2750	2080,74
5010106110386	BALLANTINES 21Y	4950	3745,35
5010106111727	BALLANTINES 3LT	4950	3182,8
5010106113127	BALLANTINES 70 CL	1075	729,397
5010106113912	BALLANTINES 5CL	235	164,22
5010106113943	BALLANTINES 12Y 35CL	725	342,676
5010106114414	BALLANTINES 1.5LT	2300	1646,35
5010196065061	WHYTE MACKAY 70 CL	1075	638,972
5010196091008	JIM BEAM 70CL	1295	782
5010196092142	JIM BEAM 1LT	1795	1093,45
5010196111010	DALMORE 12Y	3300	2940
5010278100710	JIM BEAM BLACK CERRY	1345	885,42
5010278100802	JIM BEAM 35CL	695	473
5010284100018	MALIBU 70 CL	800	687,847
5010296003062	GREENALLS GIN	1150	726,81
5010296003260	GREENALL S WILDBERRY	1150	726,812
5010296007114	GREENALLS S BLUEBERRY	1150	726,811
5010296011203	GREENALL S BLOOD ORANGE	1150	726,811
5010314005108	HIGHLAND PARK 18	7500	4254,55
5010314017408	MACALLAN 12 SHERRY OAK	4100	3287,46
5010314090906	FAMOUS GROUSE 50CL	825	558,6
5010314101015	FAMOUS GROUSE 1LT	1500	1015,64
5010314301712	MACALLAN RARE CASK	14000	8333,33
5010314302504	FAMOUS GROUSE SMOKY	1370	927,615
5010314302863	MACALLAN 12Y DOUBLE CASK	3500	2806,36
5010314308469	MACALLAN 15Y DOUBLE	7100	5092,58
5010314309862	MACALLAN 18Y DOUBLE CASK	14600	9212
5010314311315	HIGHLAND PARK 15	4800	2979,16
5010314311438	FAMOUS GROUSE SHERRY	1370	883,731
5010314311872	MACALLAN CLASSIC CUT	5600	4166,66
5010314311971	MACALLAN A NIGHT ON EARTH	4800	3630,2
5010314312114	MACALLAN THE HARMONY COLLECTION	7200	6407
5010314313944	MACALLAN A NIGHT ON EARTH IN JEREZ	4750	4090,91
5010314355005	FAMOUS GROUSE 35CL	595	402,869
5010314570101	HIGHLAND PARK 12	2560	1504,63
5010314700003	FAMOUS GROUSE 70CL	1075	727,873
5010327000176	GLENFIDDICH 12 YO 70 CL	2500	1720,81
5010327000404	GRANTS VISKI 70 CL	1075	778,03
5010327015859	GLENFIDDICH 23Y	17500	8587,96
5010327015897	GLENFIDDICH 26Y	34500	22685
5010327105215	MONKEY SHOULDER 70 CL	1700	1150
5010327305585	GLENFIDDICH FIRE&CANE	3750	2000
5010327324081	GLENFIDDICH 21Y	10500	5907,5
5010327325125	GLENFIDDICH 15 Y	3800	2558,7
5010327325323	GLENFIDDICH 18Y	6300	3935,18
5010327325606	GLENFIDDICH IPA	4750	2506,94
5010327325613	GLENFIDDICH  XX	4950	2506,94
5010327375519	GLENFIDDICH 30YO	34250	32918,6
5010327705170	HENDRICKS ORBIUM	2750	1661,58
5010327705866	HENDRICKS FLORA ADORA	2750	1728,94
5010327705910	HENDRICKS GRAND CABERNET	2750	1999,05
5010327755014	HENDRICKS GIN	2500	1738,32
5010494195286	ARDBEG 10Y	2700	2016,38
5010494220278	ARDBEG UIGEADAIL	4185	3121,68
5010494296280	ARDBEG CORRYVRECKAN	5670	4174,78
5010494560282	GLENMORANGIE 10Y	1950	1388,14
5010494564273	GLENMORANGIE 18Y	5775	3946,43
5010494917840	GLENMORANGIE 12Y LASANTA	2900	1973,22
5010494938326	ARDBEG AN OA	2970	2261,51
5010494951813	GLENMORANGE 14Y THE QUINTA RUBAN	3450	2495,58
5010494951837	GLENMORANGE THE NECTAR D`OR	3900	2995,65
5010494961577	ARDBEG 5Y	2160	1707,75
5010494971040	ARDBEG 8	2850	2190,26
5010494979855	GLENMORANGIE 12 PALO CORTADO FINISH	2950	2079,65
5010494980943	ARDBEG 19YO	10750	8982,29
5010494983890	GLENMORANGIE 16Y	3900	2846,36
5010494985498	GLENMORANGIE TOKYO	3950	2610,61
5010494987645	GLENMORANGIE 12 CALVADOS	2500	2212,39
5010494988703	ARDBEG SPECTACULAR	5830	4867,26
5010494989960	GLENMORANGIE 15Y	3750	2522,12
5010494990560	GLENMORANGIE A TALE OF ICE CREAM	3750	2920,36
5010494991727	GLENMORANGIE TRIPLE CASK RESERVE	1560	1201,06
5010496020821	BOWMORE 15 YO	6900	4440
5010496080818	BOWMORE 12 YO	3495	2219,62
5010509060028	OLD PULTENEY 12Y	2350	1641,69
5010509800068	CAORUNN CIN	2150	1390,18
5010509881692	OLD PULTENEY HUDDART	3000	2456,18
5010677013147	BACARDI CARTA BLANCA	1375	678,8
5010677714006	BOMBAY SAPPHIRE CIN 70 CL	1545	1093,16
5010677850100	GREY GOOSE 70CL	2950	1948,11
5010677870207	GREY GOOSE LE CITRON	2950	1861,68
5010677890106	GREY GOOSE LA POIRE 70CL	2950	1861,68
5010677914000	MARTINI ROSSO 75 CL	1050	907,713
5010677924009	MARTINI BIANCO	1050	853,997
5010677934008	MARTINI EXTRA DRY 75 CL	1050	883,181
5010719187003	MACALLAN 18Y SHERRY OAK	16700	11065
5010739261523	ABERLOUR ABUNDAH 70 CL	5500	3764,02
5011007003005	JAMESON 70CL	1275	929,642
5011007003227	JAMESON 100 CL	1725	1307,62
5011007003654	JAMESON 35CL	650	453,217
5011007008345	REDBREAST 12Y	3800	2876,63
5011007010171	CORK 1LT	1150	847,68
5011007010263	CORK 70CL	825	606,516
5011007010355	CORK 35CL	435	353,697
5011007011208	CORK 50CL	620	421,995
5011007020569	JAMESON COLD BREW	1375	758,358
5011007023614	JAMESON BREWERY	1375	897,197
5011007024000	JAMESON BLACK BARREL	1650	1178,75
5011007025410	JAMESON STOUT	1375	876,113
5011007025960	JAMESON IPA	1375	866,692
5011013100156	BAILEYS 70 CL	895	719,099
5011013500680	SHERIDANS	889	719,096
5011013941254	BAILEYS ÇIKOLATA	895	731,189
5011166057093	WHITLEY NEILL BLOOD ORANGE	1850	1096,5
5011166059059	WHITLEY NEILL PINK	1850	1353
5011166061038	DEAD MAN S FINGERS SPICED	1350	1045,5
5011166066774	ABER FAIIS 70 CL	1750	1350
5013967005006	DALMORE 15 YO	5700	4500
5013967008427	DALMORE CIGAR MALT	6000	4409,09
5013967011557	TAMNAVULIN DOUBLE CASK	1650	1081,81
5013967013445	DALMORE PORT WOOD	3500	3118,18
5013967014886	JURA 21Y	7700	5896,36
5013967015401	TAMNAVULIN SHEERY CASK EDITION	1650	1081,81
5013967016354	DALMORE 12Y SHERRY CASK	3700	3296,36
5013967016613	TAMNAVULIN SPANISH GRENACHE	1650	1081,81
5013967016620	TAMNAVULIN RED WINE CASK FRENC	1650	1081,81
5013967017054	DALMORE KING ALEXANDER III	11500	8436,36
5013967018891	TAMNAVULIN WHITE WINE	1650	1081,81
5013967019324	DALMORE 18Y	11000	8000
5018066105701	GLENFARCLAS 105	3850	3385
5018066112433	GLENFARCLAS 12 70 CL	2950	2646
5018066154617	GLENFARCLAS 15Y	5100	3576
5018066254317	GLENFARCLAS 25 YO	10000	7542,9
5055807409940	PORT CHARLOTTE	5500	4009,09
5055807415385	OCTOMORE 13.1	10500	8196,37
5060045585073	BASIL HAYDEN 70CL	3295	2242,99
5060074861247	TULLIBARDINE SOVEREIGN	2150	1387,85
5060074861261	TULLIBARDINE 228	2150	1387,85
5060074861285	TULLIBARDINE 500	2275	1387,85
5060074861308	TULLIBARDINE 225	2150	1387,85
5060210700522	KILCHOMAN MACHIR BAY	3000	2246,84
5060210700607	KILCHOMAN SANAIG	3500	3025,75
5060210706661	KILCHOMAN LOCH GORM	6500	5414,51
5060307843941	LAKES NO:7	5250	4354,16
5060354267271	SCARABUS ISLAY SINGLE MALT	2950	2343,46
5060399680547	BENRIAC THE ORIGINAL	2150	1630,91
5060399687188	BENRIAC THE TWELVE	2475	1761,75
5060399687300	BENRIAC THE SMOKY TEN	2350	1672,77
5060404510036	COTSWOLDS DRY GIN	3000	2175,6
5060632880512	COMPASS BOX GLASGOW BLEND	2250	1637,18
5060632881700	COMPASS BOX HEDONISM	5000	4299,75
5060708470067	BROCKMANS AGAVE CUT	3500	2638,88
5060742030005	ITALICUS ROSOLIO DI BERGAMOTTPO	2100	1545,6
5065000482602	COMPASS BOX SPICE THREE	3750	2684,5
5065012521641	MOSAIK CIN	1670	1248,47
50792511	FAMOUS GROUSE 5CL	200	128
5099357002305	CONNEMARA 70 CL	2395	1461,68
5099873001370	JACK DANIELS HONEY 70 CL	1175	1074,08
5099873006504	JACK DANIELS FIRE 70CL	1175	694,03
5099873008270	JACK DANIELS FIRE 35CL	675	395,09
5099873009505	WOODFORD RESERVE RYE	2500	1555,63
5099873010907	GENTLEMAN JACK 35 CL	850	656,806
5099873014974	WOODFORD RESERVE WHEAT STRAIGHT	2500	1784,8
5099873017616	JACK DANIELS APPLE 35CL	675	584,669
5099873017623	JACK DANIELS APPLE 70CL	1175	866,734
5099873017647	JACK DANIEL APPLE 100 CL	1650	1196,07
5099873018095	FORDS CIN 70 CL	1800	857,266
5099873019429	WOODFORD HOLIDAY	2500	1854,54
5099873023358	JACK DANIELS BONDED	2475	1590,7
5099873023365	JACK DANIELS TRIPLE MASH	2875	1838,14
5099873025871	WOODFORD RESERVE 43.2	2275	1420,36
5099873028445	JACK DANIELS BONDED RYE	2475	1786,61
5099873038758	GENTLEMAN JACK 70 CL	1550	1177,42
5099873045152	JACK DANIELS 1,75 CL	3300	2080
5099873046067	JACK DANIELS 50 CL	900	759,722
5099873046296	JACK DANIELS 5CL	210	143,5
5099873046968	JACK DANIELS HONEY 100CL	1650	1315,21
5099873055533	JACK DANIELS SINATRA	7750	6000
5099873060704	JACK DANIELS HONEY 35CL	775	537,023
5099873089712	JACK DANIELS 35 CL	675	558,627
5099873089798	JACK DANIELS 70 CL	1175	1005,08
5099873090183	JACK DANIELS 100 CL	1650	1434,38
5201319113077	BARBAYANNI %46	1375	645,192
5201319116078	OUZO BARBAYANNI 70CL	1250	753
5202413007019	OUZO PLOMARI	1250	799,07
5202795080709	METAXA OUZO 70 CL	1500	0
5202795120030	METAXA 5 STARS 50 CL	1315	940,907
5287002214009	THE THREE BROTHERS HIBISCUS	2450	1615
5289000070304	THE THREE BROTHERS GIN	2250	1296
5289000070366	ARAK 70CL	2350	1762,56
5391530350426	GUNPOWDER SARDINIAN	2300	1710
5410316072014	SMIRNOFF VODKA 50 CL	725	562,82
5410316518529	SMIRNOFF VODKA 100 CL	1295	1016,03
5410316519724	SMIRNOFF VODKA 70 CL	950	723,175
5410316950459	SMIRNOFF NORTH 70CL	950	0
5410316984607	SMIRNOFF ELMA	825	536,52
5410316993166	SMIRNOFF VODKA 35 CL	535	408,521
5900191013047	WYBOROWA 50CL	575	467,805
5900191014884	WYBOROWA 35CL	420	342,67
5900685005725	WYBOROWA 100CL	1090	889,864
5900685006197	WYBOROWA 70CL	775	632,31
5901041003324	BELVEDERE 5CL	560	390,82
5901041003454	BELVEDERE 70CL VOTKA	2650	1994,69
5901594001648	GRIMBERERGEN	135	123,108
5901811521072	PRAVDA ESPRESSO VODKA	1990	1030,47
5901811522871	PRAVDA BIO	2690	1171,66
5901867814203	BELVEDERE PURE 70 CL	2650	1951,33
6001108093769	AMARULA VANILLA CREAM	795	606,947
6001495062577	AMARULA CREAM	795	606,947
6091319490174	TAKAMAKA RUM DARK SPICED	1195	824,301
6091319490204	TAKAMAKA RUM BLANC 70 CL	1175	820,089
619947000112	TITO S VODKA	2350	1728
634158496349	WOLFBURN NORTHLAND	2950	2091,1
634158496370	WOLFBURN MORVEN	3250	2326,58
7312040017034	ABSOLUT 100 CL	1450	1138,51
7312040017072	ABSOLUT 50CL	775	609,163
7312040017355	ABSOLUT 35 CL	575	451,943
7312040017508	ABSOLUT 5CL	250	194,8
7312040017683	ABSOLUT 70 CL	1050	817,172
7312040050703	ABSOLUT MANDRIN 70	1050	765,238
7312040090709	ABSOLUT CITRON 70CL	1050	765,238
7312040217014	ABSOLUT ELIX 70CL	2150	1418,69
7312040350056	ABSOLUT RASPBERRY 70CL	1050	765,238
7312040350100	ABSOLUT VANILYA	1050	537,38
7312040350254	ABSOLUT PEARS 70CL	1050	644,857
7312040551668	ABSOLUT LIME 70CL	1050	902,807
7312040551804	ABSOLUT EXTRAKT 70 CL	1050	537,38
7401005008580	RON ZACAPA	2600	2094,75
7501003698827	OLMECA DARK CHOCOLATE 70CL	1050	902,807
7501035042131	JOSE CUERVO REPOSADO	1300	1016,36
7501035042308	JOSE CUERVO 70CL	1200	938,182
7501035042384	JOSE CUERVO 50CL	900	703,636
7501398100684	ELTEQUILENO REPOSADO 70CL	2190	1831,54
7506064300160	DONJULIO BLANCO 70CL	2300	1748
7506064300177	DONJULIO REPOSADO	2500	1567,5
7506064300184	DONJULIO ANEJO	2750	1710
7506064300191	DONJULIO 1942	12000	7031
7610113007518	BACARDI SPICED	1500	678,5
7610594252148	KAHLUA LIQUEUR	800	447,09
7640171035475	ROYAL BROCKLA 12	3750	3084
7640175712617	GREY GOOSE ISIKLI	2950	1736,92
7804320483115	FRONTERA ROSE  CHILE	550	184,53
7804320556000	FRONTERA SAUVIGNON BLANC	550	333,318
7804320559001	FRONTERA CABERNET	550	402,756
7804320642277	FRONTERA CHARDONAY	550	258,924
7804320706009	FRONTERA MERLOT	550	405,234
8000020005285	CINZANO 75CL	1500	902,352
8000440112389	KEGLEVICH PESCA	740	495,993
8000440112426	KEGLEVICH MELON 70CL	740	450,004
8000440112440	KEGLEVICH ÇILEK	740	495,993
8000440112488	KEGLEVICH ELMA	740	495,993
8000440113096	TRIPLE SEC 1LT	1550	1039,99
8000570048022	MARTINI FIERO	1095	946,608
8001305334625	GAGLIANO LIMONCELLO	1025	832,712
8001660198351	RUFFINO PROSECCO 750 ML	1950	910,8
8002230000302	APEROL 70CL	1100	790,704
8002793000504	PICCINI CHIANTI	675	473,864
8002793014334	PICCINI PROSECCO	2000	1128,09
8002793020267	PICCINI NERO D AVOLA	650	476,1
8002793960518	PICCINI VINO ROSSO 75 CL	400	281,52
8004663000355	AMARETTO VENEZIA BADEM LIKÖRÜ	1050	635,511
8004747004057	LIMONCELLO LIKÖR	1200	786,448
8004747007539	VOLARE TRIPLE SEC	1150	851,776
8004747007584	VOLARE SOUR APPLE	810	532,277
8004747007591	VOLARE GREEN MELON	810	548,128
8004747007607	VOLARE STRAWBERRY	810	532,277
8004747007621	VOLARE VANILA	810	532,277
